n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
300,3,0.05,0.8,0.7,0.0,1.0,0.6676411628723145,0.5785196500803853,UP,0.5345982909202576,0.46540170907974243
100,3,0.05,0.8,0.7,0.0,1.0,0.6676411628723145,0.5785196500803853,UP,0.5345982909202576,0.46540170907974243
200,3,0.05,0.8,0.7,0.0,1.0,0.6676411628723145,0.5785196500803853,UP,0.5345982909202576,0.46540170907974243
200,7,0.03,0.8,0.7,0.5,1.0,0.6678490489721298,0.5848923926172656,UP,0.5759943127632141,0.4240056872367859
300,7,0.03,0.8,0.7,0.5,1.0,0.6678490489721298,0.5848923926172656,UP,0.5759943127632141,0.4240056872367859
100,7,0.03,0.8,0.7,0.5,1.0,0.6678490489721298,0.5848923926172656,UP,0.5759943127632141,0.4240056872367859
200,5,0.03,0.8,0.7,0.5,1.0,0.6682132184505463,0.5795277025865013,UP,0.5720138549804688,0.42798614501953125
300,5,0.03,0.8,0.7,0.5,1.0,0.6682132184505463,0.5795277025865013,UP,0.5720138549804688,0.42798614501953125
100,5,0.03,0.8,0.7,0.5,1.0,0.6682132184505463,0.5795277025865013,UP,0.5720138549804688,0.42798614501953125
100,7,0.03,0.8,0.7,0.0,1.0,0.6684390604496002,0.5904056408097301,UP,0.5204959511756897,0.4795040488243103
200,7,0.03,0.8,0.7,0.0,1.0,0.6684390604496002,0.5904056408097301,UP,0.5204959511756897,0.4795040488243103
300,7,0.03,0.8,0.7,0.0,1.0,0.6684390604496002,0.5904056408097301,UP,0.5204959511756897,0.4795040488243103
300,7,0.05,0.8,0.7,0.5,1.0,0.6686501353979111,0.5890360054871402,DOWN,0.4712298810482025,0.5287700891494751
100,7,0.05,0.8,0.7,0.5,1.0,0.6686501353979111,0.5890360054871402,DOWN,0.4712298810482025,0.5287700891494751
200,7,0.05,0.8,0.7,0.5,1.0,0.6686501353979111,0.5890360054871402,DOWN,0.4712298810482025,0.5287700891494751
300,5,0.03,0.8,0.7,0.0,1.0,0.6698737889528275,0.5812829042466441,UP,0.5458870530128479,0.4541129469871521
100,5,0.03,0.8,0.7,0.0,1.0,0.6698737889528275,0.5812829042466441,UP,0.5458870530128479,0.4541129469871521
200,5,0.03,0.8,0.7,0.0,1.0,0.6698737889528275,0.5812829042466441,UP,0.5458870530128479,0.4541129469871521
300,7,0.01,0.6,1.0,0.0,1.0,0.669938400387764,0.595438549683961,UP,0.6149482727050781,0.3850517272949219
200,7,0.01,0.6,1.0,0.0,1.0,0.6700349450111389,0.5940017680747656,UP,0.5862961411476135,0.4137038588523865
200,7,0.01,0.6,0.7,0.0,3.0,0.6702655255794525,0.5634377426327974,UP,0.5884577035903931,0.41154229640960693
300,7,0.01,0.6,0.7,0.0,3.0,0.6702655255794525,0.5634377426327974,UP,0.5884577035903931,0.41154229640960693
300,7,0.01,0.6,0.7,0.0,1.0,0.6703484207391739,0.5746382867697122,UP,0.5687894225120544,0.43121057748794556
200,7,0.01,0.6,0.7,0.0,1.0,0.6703484207391739,0.5746382867697122,UP,0.5687894225120544,0.43121057748794556
300,7,0.05,0.6,1.0,0.5,3.0,0.670365035533905,0.5920991272875845,UP,0.562183141708374,0.437816858291626
200,7,0.05,0.6,1.0,0.5,3.0,0.670365035533905,0.5920991272875845,UP,0.562183141708374,0.437816858291626
100,7,0.05,0.6,1.0,0.5,3.0,0.670365035533905,0.5920991272875845,UP,0.562183141708374,0.437816858291626
200,7,0.05,1.0,0.7,0.0,1.0,0.6707402169704437,0.5845359380085087,UP,0.5382477641105652,0.4617522358894348
100,7,0.05,1.0,0.7,0.0,1.0,0.6707402169704437,0.5845359380085087,UP,0.5382477641105652,0.4617522358894348
300,7,0.05,1.0,0.7,0.0,1.0,0.6707402169704437,0.5845359380085087,UP,0.5382477641105652,0.4617522358894348
300,5,0.05,0.8,0.7,0.5,1.0,0.6708726286888123,0.5695559174048088,UP,0.5902448296546936,0.4097551703453064
200,5,0.05,0.8,0.7,0.5,1.0,0.6708726286888123,0.5695559174048088,UP,0.5902448296546936,0.4097551703453064
100,5,0.05,0.8,0.7,0.5,1.0,0.6708726286888123,0.5695559174048088,UP,0.5902448296546936,0.4097551703453064
100,7,0.03,0.6,0.7,0.0,1.0,0.671163871884346,0.573671512339166,UP,0.612486720085144,0.38751327991485596
200,7,0.03,0.6,0.7,0.0,1.0,0.671163871884346,0.573671512339166,UP,0.612486720085144,0.38751327991485596
300,7,0.03,0.6,0.7,0.0,1.0,0.671163871884346,0.573671512339166,UP,0.612486720085144,0.38751327991485596
300,7,0.05,0.8,0.7,0.5,3.0,0.6711653023958206,0.5782209014808615,UP,0.5223787426948547,0.47762125730514526
200,7,0.05,0.8,0.7,0.5,3.0,0.6711653023958206,0.5782209014808615,UP,0.5223787426948547,0.47762125730514526
100,7,0.05,0.8,0.7,0.5,3.0,0.6711653023958206,0.5782209014808615,UP,0.5223787426948547,0.47762125730514526
300,7,0.01,0.6,1.0,0.5,1.0,0.6711696088314056,0.5816860301732131,UP,0.573521077632904,0.42647892236709595
200,7,0.01,0.6,1.0,0.5,1.0,0.6711696088314056,0.5816860301732131,UP,0.573521077632904,0.42647892236709595
300,7,0.01,0.6,0.7,0.5,3.0,0.6713598370552063,0.558750203193136,UP,0.550121545791626,0.449878454208374
200,7,0.01,0.6,0.7,0.5,3.0,0.6713598370552063,0.558750203193136,UP,0.550121545791626,0.449878454208374
300,7,0.01,0.6,0.7,0.5,1.0,0.6714431047439575,0.5715111107521226,UP,0.584758460521698,0.415241539478302
200,7,0.01,0.6,0.7,0.5,1.0,0.6714431047439575,0.5715111107521226,UP,0.584758460521698,0.415241539478302
200,7,0.01,0.6,1.0,0.0,3.0,0.6714889407157898,0.5696310694168332,UP,0.5576795339584351,0.44232046604156494
300,7,0.01,0.6,1.0,0.0,3.0,0.6714889407157898,0.5696310694168332,UP,0.5576795339584351,0.44232046604156494
100,7,0.01,0.6,1.0,0.0,1.0,0.6715432107448578,0.588254641637984,UP,0.5594687461853027,0.44053125381469727
200,7,0.05,0.8,0.7,0.0,1.0,0.6716076731681824,0.5829980478314117,UP,0.5285248756408691,0.47147512435913086
300,7,0.05,0.8,0.7,0.0,1.0,0.6716076731681824,0.5829980478314117,UP,0.5285248756408691,0.47147512435913086
100,7,0.05,0.8,0.7,0.0,1.0,0.6716076731681824,0.5829980478314117,UP,0.5285248756408691,0.47147512435913086
100,7,0.01,0.6,0.7,0.0,1.0,0.6716806888580322,0.5696095511375283,UP,0.5681055784225464,0.4318944215774536
300,7,0.01,0.6,1.0,0.5,3.0,0.6717476844787598,0.5699980707169328,UP,0.5590836405754089,0.44091635942459106
200,7,0.01,0.6,1.0,0.5,3.0,0.6717476844787598,0.5699980707169328,UP,0.5590836405754089,0.44091635942459106
200,7,0.03,0.8,1.0,0.5,1.0,0.6718974709510803,0.5806119377944617,UP,0.605474591255188,0.394525408744812
100,7,0.03,0.8,1.0,0.5,1.0,0.6718974709510803,0.5806119377944617,UP,0.605474591255188,0.394525408744812
300,7,0.03,0.8,1.0,0.5,1.0,0.6718974709510803,0.5806119377944617,UP,0.605474591255188,0.394525408744812
200,5,0.05,0.8,1.0,0.0,1.0,0.6719508171081543,0.5756728721766251,UP,0.6320459246635437,0.3679540753364563
300,5,0.05,0.8,1.0,0.0,1.0,0.6719508171081543,0.5756728721766251,UP,0.6320459246635437,0.3679540753364563
100,5,0.05,0.8,1.0,0.0,1.0,0.6719508171081543,0.5756728721766251,UP,0.6320459246635437,0.3679540753364563
200,7,0.05,1.0,0.7,0.0,3.0,0.672023132443428,0.5818798755835387,UP,0.5937351584434509,0.4062648415565491
300,7,0.05,1.0,0.7,0.0,3.0,0.672023132443428,0.5818798755835387,UP,0.5937351584434509,0.4062648415565491
100,7,0.05,1.0,0.7,0.0,3.0,0.672023132443428,0.5818798755835387,UP,0.5937351584434509,0.4062648415565491
100,7,0.01,0.6,1.0,0.5,1.0,0.67204450070858,0.5772818547099243,UP,0.5735185742378235,0.4264814257621765
200,7,0.05,0.8,0.7,0.0,3.0,0.6720965057611465,0.577327242924083,UP,0.5316980481147766,0.4683019518852234
100,7,0.05,0.8,0.7,0.0,3.0,0.6720965057611465,0.577327242924083,UP,0.5316980481147766,0.4683019518852234
300,7,0.05,0.8,0.7,0.0,3.0,0.6720965057611465,0.577327242924083,UP,0.5316980481147766,0.4683019518852234
300,7,0.01,0.8,0.7,0.5,1.0,0.6721209585666656,0.5785278198747961,UP,0.5285570025444031,0.4714429974555969
100,7,0.01,0.8,0.7,0.5,1.0,0.6721209585666656,0.5785278198747961,UP,0.5285570025444031,0.4714429974555969
200,7,0.01,0.8,0.7,0.5,1.0,0.6721209585666656,0.5785278198747961,UP,0.5285570025444031,0.4714429974555969
200,7,0.01,0.8,0.7,0.0,1.0,0.6721880584955215,0.5769230736870021,UP,0.5459281206130981,0.45407187938690186
300,7,0.01,0.8,0.7,0.0,1.0,0.6721880584955215,0.5769230736870021,UP,0.5459281206130981,0.45407187938690186
100,7,0.05,0.6,0.7,0.5,1.0,0.672237753868103,0.5707103278653766,UP,0.5032623410224915,0.49673765897750854
300,7,0.05,0.6,0.7,0.5,1.0,0.672237753868103,0.5707103278653766,UP,0.5032623410224915,0.49673765897750854
200,7,0.05,0.6,0.7,0.5,1.0,0.672237753868103,0.5707103278653766,UP,0.5032623410224915,0.49673765897750854
300,7,0.03,0.8,0.7,0.5,3.0,0.6722453087568283,0.5799761662444625,UP,0.5589331984519958,0.44106680154800415
200,7,0.03,0.8,0.7,0.5,3.0,0.6722453087568283,0.5799761662444625,UP,0.5589331984519958,0.44106680154800415
100,7,0.03,0.8,0.7,0.5,3.0,0.6722453087568283,0.5799761662444625,UP,0.5589331984519958,0.44106680154800415
100,7,0.03,0.8,1.0,0.0,1.0,0.6723043024539948,0.5724498798678428,UP,0.641152560710907,0.358847439289093
200,7,0.03,0.8,1.0,0.0,1.0,0.6723043024539948,0.5724498798678428,UP,0.641152560710907,0.358847439289093
300,7,0.03,0.8,1.0,0.0,1.0,0.6723043024539948,0.5724498798678428,UP,0.641152560710907,0.358847439289093
300,7,0.03,0.6,0.7,0.5,3.0,0.6723057329654694,0.570740217870159,UP,0.6076956987380981,0.39230430126190186
200,7,0.03,0.6,0.7,0.5,3.0,0.6723057329654694,0.570740217870159,UP,0.6076956987380981,0.39230430126190186
100,7,0.03,0.6,0.7,0.5,3.0,0.6723057329654694,0.570740217870159,UP,0.6076956987380981,0.39230430126190186
200,5,0.03,0.6,0.7,0.0,3.0,0.672383040189743,0.5639747446497523,UP,0.5683106780052185,0.4316893219947815
300,5,0.03,0.6,0.7,0.0,3.0,0.672383040189743,0.5639747446497523,UP,0.5683106780052185,0.4316893219947815
