n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
50,9,0.01,0.8,0.7119213620322754,0.5082056652209525,UP,0.6321685910224915,0.36783140897750854
50,9,0.01,0.5,0.712520627634112,0.5336733235486513,UP,0.6738144159317017,0.32618558406829834
50,7,0.01,0.5,0.7142012891504445,0.532997191026677,UP,0.6535071730613708,0.34649282693862915
50,5,0.01,0.8,0.7145183287277241,0.507532281205165,UP,0.6457627415657043,0.35423725843429565
50,5,0.01,0.5,0.7146702825797978,0.526855653952077,UP,0.6403067111968994,0.3596932888031006
50,7,0.01,0.8,0.7154777662669863,0.5062927049148788,UP,0.6285001635551453,0.37149983644485474
50,3,0.01,0.5,0.7163276181466229,0.5305743828229357,UP,0.6284431219100952,0.3715568780899048
50,3,0.01,0.8,0.7172279579019442,0.5268556539520771,UP,0.6237857937812805,0.3762142062187195
50,5,0.01,1.0,0.7231966054308027,0.5159894347422176,UP,0.567837119102478,0.432162880897522
50,3,0.01,1.0,0.7234355158752764,0.5159275933530126,UP,0.6252217888832092,0.37477821111679077
100,5,0.01,0.5,0.7314701699583983,0.5316531715012891,UP,0.6957709789276123,0.3042290210723877
100,3,0.01,0.5,0.7344306469795767,0.5273627533435578,UP,0.6673943996429443,0.33260560035705566
50,7,0.01,1.0,0.736026073556427,0.4996152091338357,UP,0.564582109451294,0.43541789054870605
100,9,0.01,0.5,0.7363928878976601,0.5168964417838905,UP,0.7376399040222168,0.2623600959777832
50,9,0.01,1.0,0.7372312333198728,0.504382493114992,UP,0.6171920895576477,0.3828079104423523
100,7,0.01,0.5,0.7376808929529877,0.5150315803360873,UP,0.6970623135566711,0.30293768644332886
100,3,0.01,0.8,0.7383411018243455,0.5032501085659944,UP,0.6760548949241638,0.3239451050758362
100,5,0.01,0.8,0.7404077406056025,0.5059147853141818,UP,0.7201095223426819,0.2798904776573181
50,3,0.03,0.5,0.7428767293155306,0.5118680497149799,UP,0.6743932962417603,0.32560670375823975
150,3,0.01,0.5,0.7442803534923895,0.5166600702518181,UP,0.6987967491149902,0.30120325088500977
100,9,0.01,0.8,0.7453169003686969,0.5069179900723956,UP,0.7222027778625488,0.27779722213745117
100,7,0.01,0.8,0.7462161492660989,0.5156087666353336,UP,0.7175724506378174,0.2824275493621826
100,3,0.01,1.0,0.7471268190016197,0.4874200871826162,UP,0.6572633981704712,0.3427366018295288
150,5,0.01,0.5,0.7502280855609235,0.5393242522688918,UP,0.7525371313095093,0.24746286869049072
150,3,0.01,0.8,0.751571870313556,0.5016779630270948,UP,0.7133687734603882,0.2866312265396118
50,5,0.03,0.5,0.7549439852445711,0.5259733834660861,UP,0.6829586625099182,0.3170413374900818
200,3,0.01,0.5,0.7550403768968424,0.5246128729035769,UP,0.7319356799125671,0.26806432008743286
50,3,0.03,0.8,0.7564577650208304,0.499644068448798,UP,0.713477611541748,0.28652238845825195
150,3,0.01,1.0,0.7596242129317344,0.48010081520693504,UP,0.6852724552154541,0.3147275447845459
100,5,0.01,1.0,0.7605536253521322,0.4875753777821754,UP,0.6637279391288757,0.33627206087112427
150,7,0.01,0.5,0.7613144448196884,0.5103041496946409,UP,0.7622630596160889,0.23773694038391113
200,3,0.01,0.8,0.7628519872509739,0.500551075490471,UP,0.7420852780342102,0.2579147219657898
50,3,0.03,1.0,0.764021331336502,0.47959096730926737,UP,0.6967601776123047,0.3032398223876953
200,5,0.01,0.5,0.7643496301211612,0.5399069355805121,UP,0.8047022223472595,0.19529777765274048
150,9,0.01,0.5,0.7653567239456915,0.5127297064045692,UP,0.7875525951385498,0.2124474048614502
50,3,0.05,0.5,0.7658352957626017,0.5335400209985872,UP,0.7235600352287292,0.27643996477127075
150,5,0.01,0.8,0.7678663327896788,0.5039908309833605,UP,0.7561721801757812,0.24382781982421875
200,3,0.01,1.0,0.7688920554621793,0.4897302066326951,UP,0.7192345261573792,0.28076547384262085
250,3,0.01,0.5,0.7689277833396849,0.5210150783049413,UP,0.7541176676750183,0.2458823323249817
50,5,0.03,0.8,0.7695103352757462,0.4960490223563494,UP,0.7492687106132507,0.25073128938674927
50,7,0.03,0.8,0.7711078148056032,0.49593908210887383,UP,0.783100426197052,0.216899573802948
150,7,0.01,0.8,0.773039460973366,0.5173609393294744,UP,0.7741473317146301,0.22585266828536987
50,3,0.05,0.8,0.7735283073398227,0.5068781367326859,UP,0.7215168476104736,0.27848315238952637
50,7,0.03,0.5,0.7737639855294592,0.5126513739782429,UP,0.7169629335403442,0.28303706645965576
250,3,0.01,0.8,0.7743618367743134,0.5059656326786391,UP,0.7623597383499146,0.23764026165008545
150,9,0.01,0.8,0.7750471462301393,0.5134113359389172,UP,0.7890932559967041,0.2109067440032959
50,9,0.03,0.5,0.7760966609237857,0.5284470390342849,UP,0.7367342710494995,0.2632657289505005
50,3,0.05,1.0,0.7767047314806544,0.48765645871468855,UP,0.7466549873352051,0.2533450126647949
200,7,0.01,0.5,0.7784156111444246,0.5272212052749331,UP,0.8109918832778931,0.18900811672210693
250,3,0.01,1.0,0.7801076802242508,0.4888850409802273,UP,0.7435484528541565,0.2564515471458435
250,5,0.01,0.5,0.7807706986327417,0.5384557243138354,UP,0.8338384032249451,0.16616159677505493
300,3,0.01,0.5,0.7812486392492947,0.5299875767520352,UP,0.7656649947166443,0.2343350052833557
100,7,0.01,1.0,0.7813776094597649,0.49661796313703505,UP,0.6507520079612732,0.3492479920387268
150,5,0.01,1.0,0.7822381449772345,0.4890911789442438,UP,0.7327523827552795,0.26724761724472046
50,5,0.03,1.0,0.7828212405026905,0.48159187981332147,UP,0.7193264365196228,0.2806735634803772
200,9,0.01,0.5,0.7831446823394006,0.5223247415029931,UP,0.8291711807250977,0.17082881927490234
100,3,0.03,0.5,0.7840293642710923,0.514637169698269,UP,0.7873474955558777,0.21265250444412231
300,3,0.01,0.8,0.7842062353137943,0.5238542851959961,UP,0.7779878377914429,0.22201216220855713
100,9,0.01,1.0,0.7866332039428471,0.48719745818147836,UP,0.7124464511871338,0.2875535488128662
300,3,0.01,1.0,0.7883185638875299,0.49351902241131934,UP,0.7732412815093994,0.22675871849060059
200,5,0.01,0.8,0.7894571201584614,0.5077686527372373,UP,0.7870203852653503,0.21297961473464966
100,3,0.03,0.8,0.789985551467434,0.5078332426326292,UP,0.7879132032394409,0.21208679676055908
100,3,0.03,1.0,0.7910310648845842,0.494994970233678,UP,0.7933967709541321,0.20660322904586792
50,9,0.03,0.8,0.7939519883442596,0.4775515757185969,UP,0.7942784428596497,0.20572155714035034
200,7,0.01,0.8,0.7950176528588736,0.5244094834457472,UP,0.8176549077033997,0.18234509229660034
300,5,0.01,0.5,0.7953937200507215,0.5361456048637566,UP,0.8641970753669739,0.13580292463302612
250,7,0.01,0.5,0.7988915642487666,0.5319197766014172,UP,0.8464629650115967,0.15353703498840332
200,9,0.01,0.8,0.7990362454458723,0.5089010372862349,UP,0.8364948630332947,0.16350513696670532
50,5,0.05,0.5,0.8023578915921948,0.5324832203697291,UP,0.7597244381904602,0.2402755618095398
250,9,0.01,0.5,0.8037828939090214,0.528308239471847,UP,0.8604090809822083,0.13959091901779175
250,5,0.01,0.8,0.8047122846353009,0.5134649318095615,UP,0.8111425042152405,0.18885749578475952
50,3,0.1,0.5,0.8073967791705089,0.5276376039622466,UP,0.8031240105628967,0.19687598943710327
50,7,0.05,0.5,0.8084536810514057,0.5222038072307701,UP,0.7870388627052307,0.2129611372947693
50,5,0.05,0.8,0.8085502190739801,0.4919303858352985,UP,0.8854758143424988,0.11452418565750122
200,5,0.01,1.0,0.8088325311194273,0.5022304127706592,UP,0.7501187324523926,0.24988126754760742
100,3,0.05,1.0,0.81158446649158,0.508740249674302,UP,0.8529228568077087,0.14707714319229126
150,3,0.03,1.0,0.8127077469718058,0.5111685548904171,UP,0.8521059155464172,0.14789408445358276
100,5,0.03,0.5,0.8153381794219317,0.5244438397730833,UP,0.8005114793777466,0.19948852062225342
300,7,0.01,0.5,0.8156120152748585,0.5431996459924031,UP,0.872501015663147,0.12749898433685303
150,3,0.03,0.5,0.8156158115939633,0.5218066480867649,UP,0.8356620669364929,0.16433793306350708
50,7,0.05,0.8,0.8169609569499059,0.5189811837266446,UP,0.8713476657867432,0.12865233421325684
250,7,0.01,0.8,0.8176862965485702,0.5162285547804768,UP,0.844798743724823,0.155201256275177
300,5,0.01,0.8,0.8218392201543706,0.5207951978099903,UP,0.8352744579315186,0.16472554206848145
50,5,0.05,1.0,0.8227881877346088,0.4990641336433648,UP,0.7315854430198669,0.26841455698013306
250,9,0.01,0.8,0.8239279583148725,0.5173018464464564,UP,0.8605325222015381,0.13946747779846191
250,5,0.01,1.0,0.8243312787145233,0.5075267841927912,UP,0.7775179743766785,0.22248202562332153
50,9,0.05,0.5,0.8248089081340596,0.5317850997982597,UP,0.8079278469085693,0.19207215309143066
150,7,0.01,1.0,0.8255028020475143,0.49741228142504545,UP,0.7541077733039856,0.2458922266960144
50,7,0.03,1.0,0.8255624853012771,0.4996042151090882,UP,0.749353289604187,0.250646710395813
