n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
100,7,0.03,1.0,0.7,0.0,1.0,0.676018057897307,0.5768405680186288,UP,0.5723796486854553,0.4276203513145447
300,7,0.03,1.0,0.7,0.0,1.0,0.676018057897307,0.5768405680186288,UP,0.5723796486854553,0.4276203513145447
100,7,0.03,0.8,1.0,0.0,1.0,0.6763227999968304,0.578864893308038,UP,0.5160500407218933,0.4839499592781067
200,7,0.03,0.8,1.0,0.0,1.0,0.6763227999968304,0.578864893308038,UP,0.5160500407218933,0.4839499592781067
300,7,0.03,0.8,1.0,0.0,1.0,0.6763227999968304,0.578864893308038,UP,0.5160500407218933,0.4839499592781067
300,7,0.05,0.6,1.0,0.5,1.0,0.676373966735407,0.5766489228155518,UP,0.5294349789619446,0.4705650210380554
100,7,0.05,0.6,1.0,0.5,1.0,0.676373966735407,0.5766489228155518,UP,0.5294349789619446,0.4705650210380554
200,7,0.05,0.6,1.0,0.5,1.0,0.676373966735407,0.5766489228155518,UP,0.5294349789619446,0.4705650210380554
300,7,0.01,0.6,0.7,0.0,1.0,0.6767349070134763,0.5844430118557096,UP,0.6473938226699829,0.3526061773300171
200,7,0.01,0.6,0.7,0.0,1.0,0.6767349070134763,0.5844430118557096,UP,0.6473938226699829,0.3526061773300171
200,7,0.05,0.6,1.0,0.0,1.0,0.6767572351366629,0.5642476250382407,UP,0.5314751267433167,0.46852487325668335
300,7,0.05,0.6,1.0,0.0,1.0,0.6767572351366629,0.5642476250382407,UP,0.5314751267433167,0.46852487325668335
100,7,0.05,0.6,1.0,0.0,1.0,0.6767572351366629,0.5642476250382407,UP,0.5314751267433167,0.46852487325668335
300,7,0.01,0.8,1.0,0.5,3.0,0.6767991623703764,0.5798461478788319,UP,0.5608924031257629,0.43910759687423706
200,7,0.01,0.8,1.0,0.5,3.0,0.6767991623703764,0.5798461478788319,UP,0.5608924031257629,0.43910759687423706
300,7,0.05,0.8,0.7,0.0,1.0,0.6768223687354302,0.594335497024714,UP,0.5728743672370911,0.42712563276290894
100,7,0.05,0.8,0.7,0.0,1.0,0.6768223687354302,0.594335497024714,UP,0.5728743672370911,0.42712563276290894
200,7,0.05,0.8,0.7,0.0,1.0,0.6768223687354302,0.594335497024714,UP,0.5728743672370911,0.42712563276290894
300,7,0.03,0.6,0.7,0.5,1.0,0.6768616957926255,0.5865075466687937,UP,0.636437714099884,0.36356228590011597
100,7,0.03,0.6,0.7,0.5,1.0,0.6768616957926255,0.5865075466687937,UP,0.636437714099884,0.36356228590011597
200,7,0.03,0.6,0.7,0.5,1.0,0.6768616957926255,0.5865075466687937,UP,0.636437714099884,0.36356228590011597
100,7,0.01,0.6,0.7,0.0,1.0,0.6768636636808799,0.5830062302465141,UP,0.6482931971549988,0.3517068028450012
200,3,0.05,0.8,1.0,0.0,3.0,0.6768740048378135,0.5769745955573147,UP,0.5281973481178284,0.47180265188217163
100,3,0.05,0.8,1.0,0.0,3.0,0.6768740048378135,0.5769745955573147,UP,0.5281973481178284,0.47180265188217163
300,3,0.05,0.8,1.0,0.0,3.0,0.6768740048378135,0.5769745955573147,UP,0.5281973481178284,0.47180265188217163
100,7,0.01,0.8,1.0,0.5,3.0,0.6769025531869381,0.5788298877162303,UP,0.5608924031257629,0.43910759687423706
300,7,0.03,0.6,1.0,0.0,3.0,0.6769317210917833,0.5780639715936837,UP,0.6545515060424805,0.34544849395751953
100,7,0.03,0.6,1.0,0.0,3.0,0.6769317210917833,0.5780639715936837,UP,0.6545515060424805,0.34544849395751953
200,7,0.03,0.6,1.0,0.0,3.0,0.6769317210917833,0.5780639715936837,UP,0.6545515060424805,0.34544849395751953
