n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
300,7,0.05,1.0,0.7,0.0,3.0,0.7657602578401566,0.4879911510441014,UP,0.5340310335159302,0.4659689664840698
200,7,0.05,1.0,0.7,0.0,3.0,0.7657602578401566,0.4879911510441014,UP,0.5340310335159302,0.4659689664840698
100,7,0.05,1.0,0.7,0.0,3.0,0.7657602578401566,0.4879911510441014,UP,0.5340310335159302,0.4659689664840698
300,7,0.03,1.0,0.7,0.5,1.0,0.7672486305236816,0.5010953414166339,UP,0.5266414284706116,0.4733585715293884
100,7,0.03,1.0,0.7,0.5,1.0,0.7672486305236816,0.5010953414166339,UP,0.5266414284706116,0.4733585715293884
200,7,0.03,1.0,0.7,0.5,1.0,0.7672486305236816,0.5010953414166339,UP,0.5266414284706116,0.4733585715293884
100,5,0.03,1.0,0.7,0.0,1.0,0.7681842297315598,0.4920798975603698,UP,0.5472214818000793,0.45277851819992065
200,5,0.03,1.0,0.7,0.0,1.0,0.7681842297315598,0.4920798975603698,UP,0.5472214818000793,0.45277851819992065
300,5,0.03,1.0,0.7,0.0,1.0,0.7681842297315598,0.4920798975603698,UP,0.5472214818000793,0.45277851819992065
100,7,0.05,1.0,0.7,0.5,1.0,0.7681926786899567,0.5117825641610724,UP,0.5352821350097656,0.4647178649902344
200,7,0.05,1.0,0.7,0.5,1.0,0.7681926786899567,0.5117825641610724,UP,0.5352821350097656,0.4647178649902344
300,7,0.05,1.0,0.7,0.5,1.0,0.7681926786899567,0.5117825641610724,UP,0.5352821350097656,0.4647178649902344
200,5,0.03,1.0,0.7,0.0,3.0,0.7691161632537842,0.4962335775353034,UP,0.5544183254241943,0.44558167457580566
100,5,0.03,1.0,0.7,0.0,3.0,0.7691161632537842,0.4962335775353034,UP,0.5544183254241943,0.44558167457580566
300,5,0.03,1.0,0.7,0.0,3.0,0.7691161632537842,0.4962335775353034,UP,0.5544183254241943,0.44558167457580566
200,5,0.03,1.0,0.7,0.5,1.0,0.7693475484848022,0.4994328387368404,UP,0.5648444890975952,0.4351555109024048
300,5,0.03,1.0,0.7,0.5,1.0,0.7693475484848022,0.4994328387368404,UP,0.5648444890975952,0.4351555109024048
100,5,0.03,1.0,0.7,0.5,1.0,0.7693475484848022,0.4994328387368404,UP,0.5648444890975952,0.4351555109024048
300,5,0.05,0.6,1.0,0.0,1.0,0.7697157859802246,0.5226553110731257,UP,0.5362867116928101,0.46371328830718994
100,5,0.05,0.6,1.0,0.0,1.0,0.7697157859802246,0.5226553110731257,UP,0.5362867116928101,0.46371328830718994
200,5,0.05,0.6,1.0,0.0,1.0,0.7697157859802246,0.5226553110731257,UP,0.5362867116928101,0.46371328830718994
300,5,0.03,1.0,0.7,0.5,3.0,0.7697164118289948,0.4962273933963829,UP,0.553438663482666,0.446561336517334
200,5,0.03,1.0,0.7,0.5,3.0,0.7697164118289948,0.4962273933963829,UP,0.553438663482666,0.446561336517334
100,5,0.03,1.0,0.7,0.5,3.0,0.7697164118289948,0.4962273933963829,UP,0.553438663482666,0.446561336517334
100,7,0.05,1.0,0.7,0.5,3.0,0.7700682878494263,0.4939835816580627,UP,0.5337791442871094,0.4662208557128906
300,7,0.05,1.0,0.7,0.5,3.0,0.7700682878494263,0.4939835816580627,UP,0.5337791442871094,0.4662208557128906
200,7,0.05,1.0,0.7,0.5,3.0,0.7700682878494263,0.4939835816580627,UP,0.5337791442871094,0.4662208557128906
100,5,0.03,0.6,1.0,0.5,1.0,0.7712065279483795,0.5230799552789998,UP,0.5056040287017822,0.4943959712982178
