n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
150,3,0.01,0.8,0.7095137417605683,0.5680406449094917,UP,0.5615881085395813,0.4384118914604187
50,9,0.03,0.5,0.710200879306612,0.5583233012857511,UP,0.5632317662239075,0.43676823377609253
200,3,0.01,0.5,0.7118255421290716,0.5801629314467587,UP,0.5778703689575195,0.42212963104248047
50,3,0.03,1.0,0.7121116278009906,0.5354323675082592,UP,0.5601955056190491,0.4398044943809509
50,7,0.03,0.5,0.7123128719875588,0.5611886189855814,UP,0.5841476917266846,0.41585230827331543
150,3,0.01,1.0,0.7134536246872957,0.5293870281502003,UP,0.5468248128890991,0.4531751871109009
50,3,0.03,0.8,0.7138559380762538,0.5485523617913663,UP,0.5739158391952515,0.42608416080474854
50,5,0.03,0.5,0.7156518341154227,0.5534666908535211,UP,0.5246319770812988,0.47536802291870117
150,5,0.01,0.5,0.7161077244968599,0.547303165729426,UP,0.6164177060127258,0.38358229398727417
150,7,0.01,0.5,0.7180318336403327,0.5223343612746473,UP,0.6021472215652466,0.3978527784347534
50,3,0.05,0.5,0.7189812442814091,0.5676091294381503,UP,0.6008043885231018,0.3991956114768982
250,3,0.01,0.5,0.7201766712962995,0.5864254027935817,UP,0.6058837175369263,0.39411628246307373
200,3,0.01,0.8,0.7203545006236819,0.5692293738353206,UP,0.5795446038246155,0.4204553961753845
150,9,0.01,0.5,0.7216331026367871,0.5264722373390063,UP,0.5967450141906738,0.40325498580932617
100,5,0.01,1.0,0.722126226665409,0.5353691518659608,UP,0.5817751884460449,0.4182248115539551
100,3,0.03,0.5,0.7228953503665249,0.5679815520264736,UP,0.625119149684906,0.374880850315094
200,3,0.01,1.0,0.7231341800926133,0.5516114491773721,UP,0.5834561586380005,0.4165438413619995
200,5,0.01,0.5,0.7266616879665332,0.5418776145165104,UP,0.6464893817901611,0.35351061820983887
50,5,0.03,0.8,0.7276928126688603,0.5367447792124981,UP,0.5440145134925842,0.45598548650741577
300,3,0.01,0.5,0.7290173385959662,0.577850063490493,UP,0.6062421798706055,0.39375782012939453
250,3,0.01,0.8,0.7296403769575944,0.5692293738353206,UP,0.5982605814933777,0.4017394185066223
150,5,0.01,0.8,0.729821318313198,0.5457227746719658,UP,0.554161548614502,0.44583845138549805
150,7,0.01,0.8,0.7304681294890091,0.534400303435083,UP,0.6088695526123047,0.3911304473876953
200,7,0.01,0.5,0.7309930577040143,0.5356426282315562,UP,0.6158939003944397,0.3841060996055603
250,3,0.01,1.0,0.7309981628089024,0.5591134968144813,UP,0.6196303963661194,0.3803696036338806
50,7,0.03,0.8,0.7316616592539175,0.5423105042409451,UP,0.6208353638648987,0.3791646361351013
200,9,0.01,0.5,0.7349425927791461,0.536329754778278,UP,0.6026718020439148,0.3973281979560852
50,3,0.05,1.0,0.7366794141796068,0.5484589125810122,UP,0.63919597864151,0.36080402135849
300,3,0.01,0.8,0.7379218141504618,0.5688322146913153,UP,0.6076543927192688,0.3923456072807312
250,5,0.01,0.5,0.7379913964022992,0.5448693635009372,UP,0.6666436195373535,0.3333563804626465
300,3,0.01,1.0,0.7381654902869014,0.5614236162645602,UP,0.6392499804496765,0.3607500195503235
100,3,0.03,1.0,0.7382594741718611,0.5638546699868622,UP,0.6737958192825317,0.32620418071746826
100,7,0.01,1.0,0.7383729318544452,0.5075212871804174,UP,0.5376633405685425,0.4623366594314575
100,3,0.03,0.8,0.7389791291141242,0.5653732196551174,UP,0.5822013020515442,0.4177986979484558
50,3,0.05,0.8,0.7392297128259795,0.5522504768658234,UP,0.6165606379508972,0.3834393620491028
150,9,0.01,0.8,0.7397093686650567,0.5274108522018283,UP,0.5952233672142029,0.4047766327857971
50,5,0.03,1.0,0.7421170849614888,0.5365977341314995,UP,0.5972058773040771,0.40279412269592285
250,7,0.01,0.5,0.7422160843514951,0.5381891192137074,UP,0.6469187140464783,0.35308128595352173
100,9,0.01,1.0,0.7438538600961615,0.4911951604303062,DOWN,0.48656120896339417,0.5134388208389282
150,5,0.01,1.0,0.7453723158130425,0.5326000318826717,UP,0.608485221862793,0.39151477813720703
50,7,0.05,0.5,0.7456447598208157,0.5427447682184733,UP,0.659472644329071,0.34052735567092896
100,9,0.03,0.5,0.7480819538506598,0.5513036164844407,UP,0.6537929773330688,0.34620702266693115
