feature,importance
vix_lag1,0.035754353
kc_width,0.032693934
bn_nifty_ratio,0.023456713
inda_wr,0.023397474
it_macd,0.016862512
fmcg_rsi,0.01674704
pe_ratio,0.016429326
macd_hist_lag3,0.01626794
infra_macd,0.015896892
auto_macd,0.014794334
vix_ma_ratio,0.014297513
tcs_macd,0.014085799
z20,0.013987591
infra_rsi,0.012493369
fmcg_adx,0.01244881
roc_5,0.012210167
rsi,0.012003647
consec_up,0.011263949
metal_adx,0.01118382
silver_rsi,0.01111159
vix_usvix_ratio,0.010631576
crude_macd,0.010541833
dist_from_low_20,0.010340322
gold_adx,0.010284017
copper_rsi,0.010275027
energy_adx,0.010263074
bn_rsi,0.010175612
dist_from_high_20,0.010020798
fmcg_macd,0.009948857
adx,0.009764262
tcs_adx,0.0096671255
us10y_rsi,0.009398184
eem_rsi,0.009394753
copper_macd,0.00937825
sp_ret,0.009285293
energy_macd,0.009196861
eem_wr,0.009193759
rel_rsi,0.009174483
itc_macd,0.008773953
bb_width,0.008538315
it_wr,0.008521423
icici_rsi,0.008433963
auto_adx,0.008293631
it_adx,0.008194268
us_vix_adx,0.008188814
hsi_macd,0.008161141
rel_macd,0.00811654
shanghai_rsi,0.007934452
icici_ret,0.007888326
ema_dist_10,0.0078006038
rel_adx,0.0077445484
itc_wr,0.0076437565
icici_adx,0.0075936764
macd_hist_lag2,0.007591674
dxy_macd,0.007582037
dxy_ret,0.0075334706
vix_lag2,0.007441863
vix_lag5,0.0073845806
intraday_trend,0.0072380533
eem_macd,0.006914513
auto_ret,0.006771626
pharma_adx,0.006702284
nikkei_rsi,0.0065990714
icici_wr,0.0065750536
pharma_wr,0.0065683597
rsi_lag1,0.0064979554
ha_trend,0.006494725
ndx_ret,0.0064719752
dxy_rsi,0.006461045
vix_accel,0.006428278
vix_lag3,0.0063077873
it_rsi,0.006287591
ndx_macd,0.0062726564
usdinr_z,0.006205686
rsi_lag2,0.006100598
auto_rsi,0.0060497248
hdfc_adx,0.0060221814
energy_wr,0.0059856204
roc_10,0.005931787
auto_wr,0.005918481
hdfc_wr,0.0058407527
body_pct,0.0058202427
rel_ret,0.005817245
lower_wick,0.0057395175
us_vix_wr,0.005669869
crude_adx,0.005650869
us_vix_macd,0.0055026417
gold_crude_ratio,0.0055003488
eem_adx,0.0054921536
icici_macd,0.005414444
metal_rsi,0.005344468
spread,0.0053074076
crude_rsi,0.005082851
ema_dist_50,0.0049782004
it_ret,0.0046483483
natgas_rsi,0.0044751647
energy_rsi,0.0043499605
ndx_rsi,0.004337801
crude_wr,0.004227209
atr_ratio,0.004129168
pharma_macd,0.003883003
itc_ret,0.0038629684
pharma_ret,0.0038419499
gold_macd,0.0038186696
or_range,0.0037814954
vix_pct,0.003756578
natgas_macd,0.0036995893
roc_20,0.0034552496
williams_r,0.00344293
gold_rsi,0.0033265674
energy_ret,0.0032784292
eem_ret,0.0032588115
us10y_ret,0.0032423537
infra_wr,0.0032020307
itc_rsi,0.0031937074
shanghai_ret,0.0030786914
hdfc_macd,0.0030035742
itc_adx,0.0028042952
metal_wr,0.0024360484
rsi_lag5,0.00232997
gold_ret,0.0022789594
atr_expansion,0.0021038048
infra_adx,0.0020085454
dow_sin,0.0018429136
hsi_rsi,0.0015807373
close_position,0.0014509927
hdfc_rsi,0.00055515586
vwap_dev,0.00046521827
ret_3d,0.0004326011
range_pctile,0.00043236802
sell_pct,0.0004238578
gap_pct,0.00041337154
us10y_macd,0.00037213918
infra_ret,0.00025453328
fmcg_ret,0.00023052814
tcs_ret,0.00022943442
natgas_ret,0.00020761277
inda_adx,0.00020485731
macd_hist,0.0
bn_vs_nifty,0.0
vix_spike,0.0
gap_filled,0.0
bb_squeeze,0.0
month_cos,0.0
month_sin,0.0
rsi_slope,0.0
macd_hist_lag1,0.0
dow_cos,0.0
trend,0.0
vix_change,0.0
rsi_lag3,0.0
inda_ret,0.0
ret_20d,0.0
momentum_div,0.0
engulfing,0.0
cmf_proxy,0.0
obv_slope,0.0
fmcg_wr,0.0
pharma_rsi,0.0
crude_ret,0.0
inda_macd,0.0
inda_rsi,0.0
gold_wr,0.0
us_vix_rsi,0.0
us_vix_ret,0.0
hdfc_ret,0.0
rel_wr,0.0
metal_macd,0.0
metal_ret,0.0
hsi_ret,0.0
tcs_wr,0.0
tcs_rsi,0.0
copper_ret,0.0
bn_macd,0.0
nikkei_ret,0.0
silver_macd,0.0
silver_ret,0.0
nikkei_macd,0.0
shanghai_macd,0.0
ret_10d,0.0
ret_5d,0.0
upper_wick,0.0
buy_pct,0.0
