date,open,high,low,close,volume
2016-03-30,977.3059525308922,990.7934387660596,972.994754237328,984.6627807617188,2136504
2016-03-31,980.2322656312402,1008.5914651624228,977.799722394519,996.8443603515624,4363964
2016-04-01,990.7931539887778,997.062283029842,962.7503843837236,970.5817260742188,3041400
2016-04-04,971.412378090225,984.0692168927036,967.852642177028,977.4441528320312,1752352
2016-04-05,977.2659748530838,982.8428353108,965.894598690795,974.0819702148438,1491794
2016-04-06,976.9494062579248,984.464401690678,972.7370921804222,981.6561279296876,1763150
2016-04-07,980.9048123309786,982.763765848,971.8077112488768,977.2659912109376,2390942
2016-04-08,975.3676712264412,978.4132038473124,959.9421484454876,961.9395751953124,1399500
2016-04-11,962.3152136436304,995.5394133748532,954.4046898981012,991.4456787109376,2400648
2016-04-12,988.0243272910672,998.7035333906904,984.1086570134728,995.994140625,1303628
2016-04-13,1000.6813637160944,1006.6142571768618,993.7596546785326,999.1783447265624,1601468
2016-04-18,970.225643708647,1009.9760216918182,965.0838037705252,996.6270141601562,7121504
2016-04-20,1002.6197786507668,1002.6197786507668,965.084363941138,969.1781005859376,6405024
2016-04-21,969.4345468917384,975.9211368132734,954.0881136991352,958.9135131835938,2525724
2016-04-22,956.7779096348906,963.2645009051136,950.924102367314,956.0066528320312,1964126
2016-04-25,950.172462093508,971.8275181823576,950.172462093508,969.533447265625,2267654
2016-04-26,968.6438201574568,986.2447388985784,965.8751363105388,984.7813110351562,2554368
2016-04-27,980.905209350748,994.590457751982,979.2835129193518,993.2061157226562,1848670
2016-04-28,989.3297932435598,1004.6366392612316,988.0641286013896,999.7914428710938,4992744
2016-04-29,995.5393940950612,1005.4275485854768,992.7707108377448,1002.8566284179688,2372178
2016-05-02,1000.285706086452,1000.6812322652128,988.8154469023842,999.3759765625,1116692
2016-05-03,998.7034567852096,1000.6810873927052,977.7405723457578,980.1533203125,2153118
2016-05-04,978.4923174772366,986.4622290780748,971.807962708554,980.114013671875,1364892
2016-05-05,980.1140753792936,984.840594888434,974.3987402170264,977.0685424804688,1246566
2016-05-06,974.9722955556614,982.6059721926972,961.5244018238592,978.294677734375,885598
2016-05-09,978.2943293105563,995.9348340192618,971.5703848394176,993.7792358398438,1821276
2016-05-10,994.7486717855332,1002.243876063316,987.2336718794,997.873291015625,1158534
2016-05-11,988.8152587548352,998.9407656300808,984.859997719816,996.0534057617188,1598716
2016-05-12,996.943595968984,1016.4627562599228,996.943595968984,1014.9993286132812,1513082
2016-05-13,1014.524853843604,1014.9203801024124,992.8301999223507,998.0709228515624,1621730
2016-05-16,1003.8455606530832,1014.445682812815,997.714904155793,1009.0466918945312,1111526
2016-05-17,1014.208020125479,1024.9070205890475,1009.3826209525324,1016.5811767578124,1756698
2016-05-18,1014.8609892786938,1014.8609892786938,999.1190264243764,1009.0269775390624,1500740
2016-05-19,1010.569502453246,1012.5471335735068,999.1388332037466,1011.3407592773438,1038792
2016-05-20,1005.5461367549308,1014.8410011532668,997.8333769350348,1000.404296875,1230918
2016-05-23,1006.2186366086594,1006.970097750962,980.9840461419134,985.4337158203124,1533016
2016-05-24,982.4870129195576,984.1679991534176,972.836212931941,976.0399169921876,1339158
2016-05-25,981.300573889201,1001.8481421675068,981.300573889201,999.2772216796876,1548678
2016-05-26,1000.6807705847276,1014.4845892292636,990.8322119029774,1008.0770874023438,1943248
2016-05-27,1009.8378966168812,1020.3985256848744,1008.8293818406652,1017.5506591796876,1104676
2016-05-30,1021.6441978539256,1044.9604485618306,1021.248671644923,1042.7652587890625,1349464
2016-05-31,1044.189078531112,1046.957761693884,1013.3380375745112,1016.264892578125,3722608
2016-06-01,1016.9767255364052,1046.1665720776848,1016.8976396263622,1041.6378173828125,1911942
2016-06-02,1028.3677754814505,1049.8448602591093,1028.3677754814505,1048.203369140625,1408756
2016-06-03,1048.6979743981424,1051.3084855612533,1036.4762552344862,1040.0557861328125,1554922
2016-06-06,1047.2291406016373,1054.62228660474,1040.3155305017922,1044.0321044921875,1322026
2016-06-07,1044.6315006045174,1054.6222379859685,1044.2318711092594,1051.485107421875,1202194
2016-06-08,1045.9306407217316,1050.4464750176485,1041.2349926069242,1044.272216796875,938266
2016-06-09,1047.9883001979056,1047.9883001979056,1021.1332188889664,1029.945068359375,1562138
2016-06-10,1025.4494132887392,1040.3356138518748,1020.3341355954938,1021.3532104492188,1396832
2016-06-13,1015.0586733089788,1020.3937648111432,1006.2668265322868,1017.8560791015624,1029978
