date,open,high,low,close,volume
2016-03-30,19431.44921875,19744.19921875,19431.44921875,19690.94921875,18742000
2016-03-31,19626.0,19891.599609375,19609.349609375,19764.150390625,30164000
2016-04-01,19672.25,20026.349609375,19672.25,19992.099609375,15831000
2016-04-04,19727.400390625,19948.5,19727.400390625,19890.599609375,13478000
2016-04-05,19788.5,19831.099609375,19591.349609375,19635.400390625,11814000
2016-04-06,19662.80078125,19725.900390625,19605.349609375,19657.55078125,11580000
2016-04-07,19695.80078125,19695.80078125,19345.55078125,19384.05078125,12096000
2016-04-08,19388.099609375,19489.30078125,19364.69921875,19451.69921875,7972000
2016-04-11,19477.599609375,19683.150390625,19219.900390625,19651.25,14737000
2016-04-12,19604.75,19650.44921875,19499.25,19606.599609375,10429000
2016-04-13,19722.900390625,20082.599609375,19712.099609375,20045.19921875,16929000
2016-04-18,20172.55078125,20306.650390625,20047.900390625,20253.94921875,16089000
2016-04-20,20252.849609375,20349.05078125,20123.400390625,20246.599609375,13499000
2016-04-21,20268.55078125,20300.19921875,19965.75,20071.099609375,10025000
2016-04-22,19930.849609375,20111.44921875,19834.94921875,19876.5,9897000
2016-04-25,19711.849609375,19860.69921875,19652.55078125,19715.650390625,9560000
2016-04-26,19464.30078125,19933.69921875,19464.30078125,19890.55078125,16199000
2016-04-27,19852.5,20165.30078125,19852.5,20141.55078125,12628000
2016-04-28,20058.94921875,20088.30078125,19629.599609375,19667.599609375,31922000
2016-04-29,19693.849609375,19800.69921875,19549.099609375,19737.69921875,18117000
2016-05-02,19687.55078125,19752.400390625,19557.849609375,19728.400390625,10713000
2016-05-03,19755.75,19810.19921875,19403.599609375,19478.349609375,17921000
2016-05-04,19426.05078125,19548.55078125,19221.650390625,19295.849609375,12062000
2016-05-05,19317.25,19577.5,19298.19921875,19466.30078125,10351000
2016-05-06,19323.5,19588.94921875,19124.599609375,19521.94921875,16862000
2016-05-09,19610.5,19885.400390625,19608.69921875,19752.650390625,15159000
2016-05-10,19770.599609375,19879.19921875,19736.75,19836.69921875,12829000
2016-05-11,19637.05078125,19789.55078125,19580.75,19726.900390625,12741000
2016-05-12,19754.400390625,19848.30078125,19618.599609375,19748.69921875,9000000
2016-05-13,19722.599609375,19752.80078125,19564.349609375,19667.69921875,14297000
2016-05-16,19650.349609375,19995.400390625,19520.30078125,19977.099609375,15787000
2016-05-17,20032.599609375,20085.5,19892.150390625,19960.900390625,13754000
2016-05-18,19846.099609375,20011.150390625,19729.94921875,19963.900390625,11190000
2016-05-19,20023.900390625,20023.900390625,19565.400390625,19612.849609375,13241000
2016-05-20,19710.69921875,19909.150390625,19538.75,19705.0,19148000
2016-05-23,20312.05078125,20414.0,19947.55078125,20179.05078125,41714000
2016-05-24,20214.599609375,20297.75,20138.69921875,20225.400390625,27323000
2016-05-25,20344.5,20678.900390625,20331.30078125,20639.80078125,15015000
2016-05-26,20650.80078125,20971.94921875,20559.94921875,20920.650390625,18650000
2016-05-27,20934.349609375,21022.400390625,20764.5,20907.55078125,14857000
2016-05-30,20745.349609375,20874.55078125,20726.30078125,20807.05078125,11211000
2016-05-31,20810.44921875,20884.55078125,20458.44921875,20521.650390625,37355000
2016-06-01,20618.150390625,20907.44921875,20618.150390625,20886.599609375,13757000
2016-06-02,20847.599609375,20963.75,20631.19921875,20919.44921875,18374000
2016-06-03,21008.099609375,21036.19921875,20844.69921875,20912.5,14849000
2016-06-06,20922.30078125,20970.80078125,20851.94921875,20888.0,13191000
2016-06-07,20971.75,21261.5,20961.75,21214.599609375,14946000
2016-06-08,21250.849609375,21310.75,21133.5,21225.599609375,12437000
2016-06-09,21245.0,21245.0,20806.900390625,20833.69921875,15106000
2016-06-10,20812.099609375,21029.80078125,20688.80078125,20704.5,13415000
2016-06-13,20575.55078125,20777.55078125,20489.80078125,20649.0,17226000
2016-06-14,20674.30078125,20738.349609375,20599.099609375,20717.94921875,11766000
2016-06-15,20772.30078125,20974.69921875,20749.0,20956.099609375,14341000
2016-06-16,20949.599609375,20949.599609375,20658.0,20868.099609375,12489000
2016-06-17,20921.900390625,21079.25,20900.30078125,21044.599609375,13080000
2016-06-20,21004.0,21110.599609375,20816.05078125,21010.55078125,10781000
2016-06-21,20975.55078125,21052.05078125,20910.30078125,20996.75,10737000
2016-06-22,20887.849609375,21011.05078125,20776.69921875,20877.599609375,12768000
2016-06-23,20895.55078125,21112.400390625,20880.44921875,21065.44921875,11359000
2016-06-24,20682.69921875,20822.5,20546.650390625,20789.94921875,16983000
2016-06-27,20803.900390625,21107.44921875,20803.900390625,20999.25,13476000
2016-06-28,21065.0,21445.44921875,21041.75,21433.5,19269000
2016-06-29,21515.400390625,21534.25,21298.75,21400.650390625,17999000
2016-06-30,21519.900390625,21703.55078125,21484.30078125,21608.44921875,28404000
2016-07-01,21517.69921875,22197.75,21517.69921875,22025.400390625,38907000
2016-07-04,22140.75,22141.400390625,21655.44921875,21699.349609375,20531000
2016-07-05,21755.5,21791.0,21592.150390625,21697.650390625,14686000
2016-07-07,21750.150390625,22000.75,21704.349609375,21924.150390625,20491000
2016-07-08,21963.44921875,21963.44921875,21717.900390625,21856.599609375,14516000
2016-07-11,22018.75,22199.400390625,21971.25,22078.349609375,14596000
2016-07-12,22174.75,22213.30078125,21926.55078125,21996.849609375,10237000
2016-07-13,22005.900390625,22021.099609375,21844.05078125,21932.80078125,12645000
2016-07-14,21959.400390625,22083.30078125,21845.650390625,22020.849609375,12041000
2016-07-15,22050.150390625,22289.19921875,21980.650390625,22031.349609375,15503000
2016-07-18,22065.0,22109.19921875,21910.650390625,21973.5,15432000
2016-07-19,21919.0,21943.650390625,21696.099609375,21838.44921875,18562000
