date,pcr,source
2015-01-09,1.05,
2015-01-12,1.05,
2015-01-13,1.05,
2015-01-14,1.05,
2015-01-15,1.05,
2015-01-19,1.05,
2015-01-20,1.05,
2015-01-21,1.05,
2015-01-22,1.05,
2015-01-23,1.05,
2015-01-27,1.05,
2015-01-28,1.05,
2015-01-29,1.05,
2015-01-30,1.05,
2015-02-02,1.05,
2015-02-03,1.05,
2015-02-04,1.05,
2015-02-05,1.05,
2015-02-06,1.05,
2015-02-09,0.8216579994568891,
2015-02-10,0.892464408471785,
2015-02-11,0.9490058286755176,
2015-02-12,0.982331468620692,
2015-02-13,0.9955000554580432,
2015-02-16,0.943536195310296,
2015-02-18,0.9464276183521674,
2015-02-19,1.0039475862002634,
2015-02-20,0.9192016173872674,
2015-02-23,0.8922611371222828,
2015-02-24,0.9037516733197132,
2015-02-25,1.020585511237008,
2015-02-26,1.063942728034723,
2015-02-27,1.2572972288637505,
2015-02-28,1.45,
2015-03-02,1.4004982052960948,
2015-03-03,1.345613861261407,
2015-03-04,1.307722806478477,
2015-03-05,1.2982033981477523,
2015-03-09,1.2112917439827895,
2015-03-10,1.2066912475864036,
2015-03-11,1.2067135538886145,
2015-03-12,1.2053648524729188,
2015-03-13,1.181606076168192,
2015-03-16,1.1611534987285523,
2015-03-17,1.1524040132305255,
2015-03-18,1.1270338547007763,
2015-03-19,1.1311909117367187,
2015-03-20,1.163171229528569,
2015-03-23,1.155053961626634,
2015-03-24,1.182376842173107,
2015-03-25,1.2126628781175175,
2015-03-26,1.0579785092224383,
2015-03-27,1.1243253717451358,
2015-03-30,1.1539995654909994,
2015-03-31,1.1061339554477645,
2015-04-01,1.2295634502122217,
2015-04-06,1.069523681050852,
2015-04-07,1.1231383763603964,
2015-04-08,1.0966277862113805,
2015-04-09,1.0746233807040897,
2015-04-10,1.0988267427482032,
2015-04-13,1.0494899877701596,
2015-04-15,1.018866514768533,
2015-04-16,0.9456912809148486,
2015-04-17,0.924461009824611,
2015-04-20,0.7204778174280526,
2015-04-21,0.7080783168886626,
2015-04-22,0.7626597851573296,
2015-04-23,0.728277812191808,
2015-04-24,0.7550191832142435,
2015-04-27,0.8195573853224738,
2015-04-28,0.9257500472245728,
2015-04-29,0.9478587603635432,
2015-04-30,0.9583433610176798,
2015-05-04,0.9622532947393012,
2015-05-05,0.968247248994833,
2015-05-06,0.8362230752613127,
2015-05-07,0.8612190243017473,
2015-05-08,0.9103928577055752,
2015-05-11,0.9519779834764258,
2015-05-12,0.8436669293966955,
2015-05-13,0.8537069025753914,
2015-05-14,0.8678502325750742,
2015-05-15,0.9383531987721518,
2015-05-18,1.1035886137835078,
2015-05-20,1.1308770865447817,
2015-05-21,1.163786846970572,
2015-05-22,1.2045769033630236,
2015-05-25,1.1930744856987876,
2015-05-26,1.1684817011138124,
2015-05-27,1.1419810348465338,
2015-05-28,1.1530305826501677,
2015-05-29,1.1883375151929,
2015-06-01,1.164576743461906,
2015-06-02,1.1683073084981892,
2015-06-03,1.1119540463981126,
2015-06-04,1.0549531973900783,
2015-06-05,1.0508812067614224,
2015-06-08,0.979011791493377,
2015-06-09,1.054272744196908,
2015-06-10,1.1285862958104598,
2015-06-11,1.041949959249774,
2015-06-12,1.0655627463747213,
2015-06-15,1.0380514516412118,
2015-06-16,1.106163901021476,
2015-06-17,1.187045154777405,
2015-06-18,1.2902717173392655,
2015-06-19,1.364577343357238,
2015-06-22,1.27125277380806,
2015-06-23,1.2871665428082066,
2015-06-24,1.1714778695665569,
2015-06-25,1.1607728291223471,
2015-06-26,1.1714360809663755,
2015-06-29,1.0051880546106844,
2015-06-30,1.046129033474015,
2015-07-01,1.1535578999137663,
2015-07-02,1.1722395503730596,
2015-07-03,1.082385208139421,
2015-07-06,1.106781224785901,
2015-07-07,1.0580597295597347,
2015-07-08,0.8605807638001602,
2015-07-09,0.9011107434736528,
2015-07-10,0.9475553290002978,
2015-07-13,1.0545993616817526,
2015-07-14,1.08675649899886,
2015-07-15,1.14663236218682,
2015-07-16,1.2453387096897195,
2015-07-17,1.2355061825342215,
2015-07-20,1.203914440497936,
2015-07-21,1.1856732552744296,
2015-07-22,1.172516270125787,
2015-07-23,1.116966521411728,
2015-07-24,1.1223784094758469,
2015-07-27,0.9933594518268308,
2015-07-28,1.048847231711298,
2015-07-29,1.0548278116628569,
2015-07-30,1.131774957981203,
2015-07-31,1.2190316738252702,
2015-08-03,1.1032123781189624,
2015-08-04,1.166909823288857,
2015-08-05,1.1848204272420912,
2015-08-06,1.1734236721454387,
2015-08-07,1.1368978429444676,
2015-08-10,1.0025911423774982,
2015-08-11,0.8990477275771198,
2015-08-12,0.6894986396163572,
2015-08-13,0.8097781121821488,
2015-08-14,0.9734683977890932,
2015-08-17,0.9188133495988462,
2015-08-18,0.9449034835180342,
2015-08-19,0.9115545686585416,
2015-08-20,0.8866117020031565,
2015-08-21,0.8879442634308145,
2015-08-24,0.65,
2015-08-25,0.7308114021737047,
2015-08-26,0.8177003827119242,
2015-08-27,0.9309058394070844,
2015-08-31,0.8796646745144376,
2015-09-01,0.8128256310055274,
2015-09-02,0.8838999364725324,
2015-09-03,0.9539268705993872,
2015-09-04,0.9137255826851768,
2015-09-07,0.9280032606681105,
2015-09-08,0.9794142345020258,
2015-09-09,0.9944795491826256,
2015-09-10,0.9910835666358871,
2015-09-11,0.993552570692464,
2015-09-14,1.0205030976582223,
2015-09-15,1.047487576409906,
2015-09-16,1.1171437439698453,
2015-09-18,1.2579693276583694,
2015-09-21,1.2726174184528372,
2015-09-22,1.2125038244447366,
2015-09-23,1.1850612925062136,
2015-09-24,1.1649714973961665,
2015-09-28,1.1232551464025338,
2015-09-29,1.1261562475749995,
2015-09-30,1.1930419801262484,
2015-10-01,1.199637220436484,
2015-10-05,1.1912957965840796,
2015-10-06,1.1704906517775484,
2015-10-07,1.159389111662266,
2015-10-08,1.1406528470213233,
2015-10-09,1.1620294702312075,
2015-10-12,1.1422196124201265,
2015-10-13,1.1931070289355177,
2015-10-14,1.20583963355471,
2015-10-15,1.2373146471699024,
2015-10-16,1.2930385036458585,
2015-10-19,1.2293099301329886,
2015-10-20,1.207633869017508,
2015-10-21,1.2219007617774988,
2015-10-23,1.2298311086104174,
2015-10-26,1.14634426970422,
2015-10-27,1.18292721137323,
2015-10-28,1.1388827789770772,
2015-10-29,1.0839340243581606,
2015-10-30,1.0456920853190792,
2015-11-02,0.8832183459720204,
2015-11-03,0.8813027161305214,
2015-11-04,0.90193482482536,
2015-11-05,0.908291347287288,
2015-11-06,0.888980722457992,
2015-11-09,1.1245129896643051,
2015-11-10,1.1361756212049283,
2015-11-11,1.1462777553077097,
2015-11-13,1.0434945141034877,
2015-11-16,1.0235111805484092,
2015-11-17,1.122557352577137,
2015-11-18,1.078207317663067,
2015-11-19,1.230350927850296,
2015-11-20,1.214799689952016,
2015-11-23,1.1057843597341594,
2015-11-24,1.1803084165460138,
2015-11-26,1.138559605462894,
2015-11-27,1.1324895386281968,
2015-11-30,1.1538675700001635,
2015-12-01,1.210294535308715,
2015-12-02,1.209216709183351,
2015-12-03,1.1479042689047805,
2015-12-04,1.1369961226630914,
2015-12-08,1.144815240891464,
2015-12-09,1.0205315162189772,
2015-12-10,1.0937584863983882,
2015-12-11,0.9365835125573796,
2015-12-14,0.8524110659936126,
2015-12-15,0.9222749575018084,
2015-12-16,1.0126941078510907,
2015-12-17,1.3713944101855022,
2015-12-18,1.290080691623036,
2015-12-21,1.2859647423705067,
2015-12-22,1.2339714595806477,
2015-12-23,1.285429014705233,
2015-12-24,1.246225915441494,
2015-12-28,1.1712094772364143,
2015-12-29,1.1731915161299256,
2015-12-30,1.1524271010542888,
2015-12-31,1.18387578736238,
2016-01-01,1.1420106547719004,
2016-01-04,0.921738859518916,
2016-01-05,0.938253522516712,
2016-01-06,0.9546057861979408,
2016-01-07,0.7954030692149532,
2016-01-08,0.8936316590110289,
2016-01-11,0.8484255601995268,
2016-01-12,0.8573036961901626,
2016-01-13,0.8887992864135392,
2016-01-14,0.8863818450044476,
2016-01-15,0.8638212321508218,
2016-01-18,0.8485913157684044,
2016-01-19,0.9536772007081044,
2016-01-20,0.8485096468332967,
2016-01-21,0.8756739492504421,
2016-01-22,0.983450533682163,
2016-01-25,1.02090196503716,
2016-01-27,0.9862083296549858,
2016-01-28,1.0671818535665047,
2016-01-29,1.1343988467401724,
2016-02-01,1.110799397555993,
2016-02-02,1.1045879258049724,
2016-02-03,1.058519264875016,
2016-02-04,1.116687007438519,
2016-02-05,1.1231195734525643,
2016-02-08,0.8809052348561924,
2016-02-09,0.775844432618835,
2016-02-10,0.7731445203202052,
2016-02-11,0.6781503605393441,
2016-02-12,0.8041793909116002,
2016-02-15,0.9318273780018465,
2016-02-16,0.9113952747782056,
2016-02-17,0.9772171493727566,
2016-02-18,0.994994276097978,
2016-02-19,1.0225103310516896,
2016-02-22,1.0227471684548737,
2016-02-23,0.9034286227600272,
2016-02-24,0.9546825400431348,
2016-02-25,0.9737223258280304,
2016-02-26,1.0256762201726557,
2016-02-29,1.1246392063711173,
2016-03-01,1.2120533767614914,
2016-03-02,1.197054920614193,
2016-03-03,1.2493988340496944,
2016-03-04,1.2558467995657974,
2016-03-08,1.2107689374075667,
2016-03-09,1.2371197715252626,
2016-03-10,1.2002960697597984,
2016-03-11,1.2276581194350047,
2016-03-14,1.2143577951148004,
2016-03-15,1.1745968616545228,
2016-03-16,1.1870539747922346,
2016-03-18,1.2078759855673584,
2016-03-21,1.1943647422504344,
2016-03-22,1.1757672008088025,
2016-03-23,1.1674331169785448,
2016-03-28,1.1006701093405735,
2016-03-29,1.08093041718988,
2016-03-30,1.135962943272347,
2016-03-31,1.163336139739222,
2016-04-01,1.065673432613344,
2016-04-04,1.0289215046060762,
2016-04-05,0.9418802124602724,
2016-04-06,1.025968850065893,
2016-04-07,1.101698446374909,
2016-04-08,1.1991087058705812,
2016-04-11,1.2616517518862191,
2016-04-12,1.239647274064969,
2016-04-13,1.2152273016001884,
2016-04-18,1.0298247219029533,
2016-04-20,0.996031029988963,
