date,spread
2016-03-31,1.5930000096559525
2016-04-01,1.574000060558319
2016-04-04,1.5960000455379486
2016-04-05,1.50900000333786
2016-04-06,1.534999996423721
2016-04-07,1.4709999859333038
2016-04-08,1.5020000338554382
2016-04-11,1.513999983668327
2016-04-12,1.5510000139474869
2016-04-13,1.5389999598264694
2016-04-14,1.566000014543533
2016-04-15,1.5419999808073044
2016-04-18,1.5750000029802322
2016-04-19,1.5679999887943268
2016-04-20,1.6359999775886536
2016-04-21,1.645000010728836
2016-04-22,1.6630000174045565
2016-04-25,1.6639999449253082
2016-04-26,1.6859999895095823
2016-04-27,1.6150000095367432
2016-04-28,1.6280000656843183
2016-04-29,1.626000002026558
2016-05-02,1.6800000071525574
2016-05-03,1.5969999581575394
2016-05-04,1.5860000401735306
2016-05-05,1.563999980688095
2016-05-06,1.5990000367164612
2016-05-09,1.556999996304512
2016-05-10,1.516999989748001
2016-05-11,1.488999992609024
2016-05-12,1.4989999830722809
2016-05-13,1.4470000565052032
2016-05-16,1.495000034570694
2016-05-17,1.4909999370574951
2016-05-18,1.6099999845027924
2016-05-19,1.5550000369548798
2016-05-20,1.5509999692440033
2016-05-23,1.5250000655651093
2016-05-24,1.515999972820282
2016-05-25,1.5550000071525574
2016-05-26,1.5479999482631683
2016-05-27,1.5529999434947968
2016-05-31,1.5509999990463257
2016-06-01,1.5509999692440033
2016-06-02,1.5409999787807465
2016-06-03,1.433999985456467
2016-06-06,1.4730000495910645
2016-06-07,1.4480000734329224
2016-06-08,1.4709999710321426
2016-06-09,1.4399999529123306
2016-06-10,1.399000063538551
2016-06-13,1.371000051498413
2016-06-14,1.347999930381775
2016-06-15,1.340999960899353
2016-06-16,1.319000005722046
2016-06-17,1.370000034570694
2016-06-20,1.4219999611377716
2016-06-21,1.4320000410079956
2016-06-22,1.4169999361038208
2016-06-23,1.4639999568462372
2016-06-24,1.3409999907016754
2016-06-27,1.225000038743019
2016-06-28,1.2009999752044678
2016-06-29,1.222000002861023
2016-06-30,1.2400000393390656
2016-07-01,1.2129999697208405
2016-07-05,1.1289999783039093
2016-07-06,1.121999979019165
2016-07-07,1.1169999539852142
2016-07-08,1.093000054359436
2016-07-11,1.1590000092983246
2016-07-12,1.2180000245571136
2016-07-13,1.170000046491623
2016-07-14,1.2280000150203705
2016-07-15,1.2959999740123749
2016-07-18,1.2990000247955322
2016-07-19,1.2479999661445618
2016-07-20,1.26500004529953
2016-07-21,1.2620000541210177
2016-07-22,1.267000049352646
2016-07-25,1.2729999721050262
2016-07-26,1.254999965429306
2016-07-27,1.2319999933242798
2016-07-28,1.2910000383853912
2016-07-29,1.2179999500513077
2016-08-01,1.2580000460147858
2016-08-02,1.2569999396800997
2016-08-03,1.27400004863739
2016-08-04,1.2550000250339508
2016-08-05,1.3320000171661377
2016-08-08,1.3329999446868896
2016-08-09,1.251999944448471
2016-08-10,1.2359999418258667
2016-08-11,1.2979999482631683
2016-08-12,1.2519999742507937
2016-08-15,1.2779999673366549
2016-08-16,1.287999987602234
2016-08-17,1.2730000019073486
2016-08-18,1.2510000169277191
2016-08-19,1.2849999368190763
2016-08-22,1.2590000331401825
2016-08-23,1.2479999661445618
2016-08-24,1.2540000081062317
2016-08-25,1.272000014781952
2016-08-26,1.3299999833106997
2016-08-29,1.2609999775886536
2016-08-30,1.2450000643730164
2016-08-31,1.2479999661445618
2016-09-01,1.2550000548362732
2016-09-02,1.29299995303154
2016-09-06,1.2399999797344208
2016-09-07,1.210999995470047
2016-09-08,1.2830000519752502
2016-09-09,1.3390000462532043
2016-09-12,1.3220000565052032
2016-09-13,1.388999968767166
2016-09-14,1.3740000128746033
2016-09-15,1.4249999523162842
2016-09-16,1.4279999732971191
2016-09-19,1.457999974489212
2016-09-20,1.399999976158142
2016-09-21,1.4449999779462814
2016-09-22,1.4719999730587006
2016-09-23,1.4500000029802322
2016-09-26,1.4159999936819077
2016-09-27,1.3009999990463257
2016-09-28,1.3040000200271606
2016-09-29,1.322000041604042
2016-09-30,1.3480000495910645
2016-10-03,1.3339999914169312
2016-10-04,1.3679999709129331
2016-10-05,1.4029999673366549
2016-10-06,1.4319999814033508
2016-10-07,1.425999939441681
2016-10-10,1.4150000512599945
2016-10-11,1.4389999508857727
2016-10-12,1.4379999935626984
2016-10-13,1.4630000293254852
2016-10-14,1.504000037908554
2016-10-17,1.4710000455379486
2016-10-18,1.415999948978424
2016-10-19,1.428999960422516
2016-10-20,1.4269999861717224
2016-10-21,1.425000011920929
2016-10-24,1.4500000178813934
2016-10-25,1.4330000281333923
2016-10-26,1.476999968290329
2016-10-27,1.5680000483989716
2016-10-28,1.5720000267028809
2016-10-31,1.539000004529953
2016-11-01,1.4750000536441803
2016-11-02,1.4540000259876251
2016-11-03,1.4540000259876251
2016-11-04,1.4249999821186066
2016-11-07,1.437999963760376
2016-11-08,1.44200000166893
2016-11-09,1.6540000140666962
2016-11-10,1.6590000987052915
2016-11-14,1.7189998626708984
2016-11-15,1.7499999105930328
