date,vix_near,vix_far
2015-01-01,15.029999732971191,15.029999732971191
2015-01-02,14.619999885559082,14.918181592767889
2015-01-05,14.463333129882812,14.848346867837195
2015-01-06,15.448888778686523,15.082133523151446
2015-01-07,16.345925649007164,15.360121329196629
2015-01-08,16.38728353712294,15.461019327756434
2015-01-09,16.244855704130952,15.50638121051921
2015-01-12,16.19990400620449,15.56125570141306
2015-01-13,16.293269184881773,15.64477786876063
2015-01-14,16.61217945658785,15.790707153418753
2015-01-15,16.46145292019594,15.824279216509058
2015-01-16,16.730968766051852,15.955708420259477
2015-01-19,17.03731238354466,16.109734892829547
2015-01-20,17.114875074950998,16.21521358055083
2015-01-21,17.313249744791552,16.35110317181645
2015-01-22,17.73216639480244,16.55282103754443
2015-01-23,17.78477739308444,16.67438270591752
2015-01-27,17.886518312918923,16.803075201069372
2015-01-28,18.51434569453384,17.072795678950673
2015-01-29,18.819563898081157,17.2870870086075
2015-01-30,19.269709290818753,17.54917001476081
2015-02-02,19.64980614301654,17.809245454092746
2015-02-03,19.703203917325155,17.991132182442712
2015-02-04,19.818802357236954,18.178301914680695
2015-02-05,20.085868517902437,18.400274544185486
2015-02-06,20.28724585662083,18.60843145235568
2015-02-09,20.864830723668447,18.918574089210953
2015-02-10,20.97322066046484,19.12506740237883
2015-02-11,20.815480440309894,19.250061274889845
2015-02-12,20.59698690934397,19.332782963300957
2015-02-13,20.43132473338589,19.4025300013163
2015-02-16,20.56421646349261,19.532299994260825
2015-02-18,20.679477591465776,19.657545435456395
2015-02-19,20.586318267153946,19.725041270281295
2015-02-20,20.814212330690523,19.865492105506963
2015-02-23,21.08614127404922,20.025901837803293
2015-02-24,21.240760595052997,20.16445614682668
2015-02-25,21.08717395891717,20.22041474135566
2015-02-26,20.918115947180134,20.253104303387513
2015-02-27,20.468743863061498,20.191003884427214
2015-03-02,18.92916270253091,19.796367202340168
2015-03-03,17.782775058726664,19.40487925404726
2015-03-04,16.921849975572822,19.022617486339794
2015-03-05,16.09456651050965,18.606015858525566
2015-03-09,15.999711146878667,18.351832636806577
2015-03-10,15.843140675576176,18.095302372821543
2015-03-11,15.60542715519776,17.825729440241485
2015-03-12,15.32028477013184,17.546117672946803
2015-03-13,15.203523269097499,17.31192518149971
2015-03-16,15.195682281123593,17.118113829106626
2015-03-17,15.173788225562703,16.93737621868247
2015-03-18,15.285858893335748,16.80761476506423
2015-03-19,15.257239198645545,16.661467950900676
2015-03-20,14.924826208724308,16.443152703444415
2015-03-23,14.706550958404097,16.24559340838253
2015-03-24,14.361033997700714,16.011448560010837
2015-03-25,13.954022779574728,15.750407813039192
2015-03-26,14.356015135520524,15.696734361618548
2015-03-27,14.404010090347018,15.587940328744134
2015-03-30,14.35600680319196,15.467218501483925
2015-03-31,14.400671125834029,15.378380435087037
2015-04-01,14.157114109320668,15.22307312974221
2015-04-06,14.294742637821853,15.163702817476937
2015-04-07,14.27982842521457,15.080638924979032
2015-04-08,14.303219077299623,15.01421723920546
2015-04-09,14.342146076964397,14.960197497122595
2015-04-10,14.314764127603546,14.896543200009798
