date,open,high,low,close,volume
2016-03-30,11127.5,11271.7001953125,11127.5,11254.5498046875,14600
2016-03-31,11240.599609375,11387.900390625,11216.4501953125,11309.2998046875,28700
2016-04-01,11306.349609375,11352.0498046875,11128.0498046875,11194.650390625,13600
2016-04-04,11224.900390625,11407.4501953125,11224.900390625,11387.7001953125,10700
2016-04-05,11386.5498046875,11399.0498046875,11245.5,11274.9501953125,9800
2016-04-06,11325.099609375,11325.099609375,11165.25,11224.9501953125,9600
2016-04-07,11264.599609375,11264.599609375,11087.2001953125,11102.599609375,8700
2016-04-08,11082.25,11085.650390625,11028.150390625,11061.150390625,9300
2016-04-11,11066.25,11304.650390625,10975.150390625,11291.349609375,13300
2016-04-12,11284.0,11332.849609375,11243.75,11304.4501953125,11800
2016-04-13,11412.099609375,11430.9501953125,11330.5,11351.849609375,14300
2016-04-18,11493.5,11638.099609375,11485.150390625,11597.25,27100
2016-04-20,11697.400390625,11697.400390625,11506.150390625,11552.75,17900
2016-04-21,11500.4501953125,11514.5,11329.900390625,11355.400390625,13900
2016-04-22,11326.5498046875,11376.0498046875,11292.400390625,11304.0498046875,10300
2016-04-25,11288.7001953125,11380.5498046875,11267.099609375,11315.4501953125,8900
2016-04-26,11292.349609375,11444.349609375,11251.349609375,11417.349609375,10000
2016-04-27,11398.900390625,11507.75,11398.900390625,11453.0,8800
2016-04-28,11350.150390625,11428.650390625,11265.7001953125,11287.150390625,26600
2016-04-29,11269.099609375,11279.25,11140.5498046875,11196.25,17900
2016-05-02,11181.150390625,11181.150390625,11075.9501953125,11117.7001953125,8200
2016-05-03,11129.900390625,11167.900390625,10909.9501953125,10925.7001953125,12700
2016-05-04,10913.75,10969.599609375,10858.7998046875,10948.599609375,13600
2016-05-05,10966.75,11024.150390625,10909.599609375,10973.849609375,11600
2016-05-06,10960.099609375,10960.099609375,10846.650390625,10887.0,9000
2016-05-09,10900.099609375,11006.5,10884.0498046875,10991.5,10700
2016-05-10,11010.25,11065.7001953125,10948.75,11034.400390625,11000
2016-05-11,10926.849609375,11030.2998046875,10900.400390625,10960.400390625,11900
2016-05-12,10967.349609375,11089.7998046875,10955.599609375,11081.099609375,8100
2016-05-13,11081.2998046875,11081.2998046875,10986.2001953125,11030.7001953125,10900
2016-05-16,11063.099609375,11134.2998046875,11030.0498046875,11087.75,8500
2016-05-17,11126.75,11197.349609375,11101.25,11125.099609375,9800
2016-05-18,11073.5498046875,11141.5,11038.25,11120.0498046875,9000
2016-05-19,11124.7998046875,11136.7001953125,11067.2001953125,11094.599609375,7800
2016-05-20,11067.0,11149.150390625,11025.7001953125,11036.150390625,10300
2016-05-23,11080.400390625,11080.400390625,10917.150390625,10939.900390625,14000
2016-05-24,10946.5,10946.5,10868.150390625,10924.7998046875,14200
2016-05-25,11019.0498046875,11223.400390625,11019.0498046875,11215.5,20900
2016-05-26,11231.849609375,11366.0498046875,11178.25,11337.150390625,15800
2016-05-27,11325.7001953125,11462.0498046875,11325.7001953125,11420.849609375,11300
2016-05-30,11433.9501953125,11579.25,11433.9501953125,11547.5,10200
2016-05-31,11554.650390625,11559.4501953125,11374.849609375,11395.849609375,32100
2016-06-01,11405.5,11516.0,11405.5,11494.900390625,10800
2016-06-02,11447.0498046875,11586.2001953125,11399.4501953125,11458.2001953125,13900
2016-06-03,11482.0498046875,11527.0,11450.25,11462.0,8700
2016-06-06,11443.5,11469.150390625,11382.75,11395.7998046875,10300
2016-06-07,11434.599609375,11461.25,11384.4501953125,11413.349609375,11900
2016-06-08,11427.150390625,11427.150390625,11380.900390625,11404.5,10400
2016-06-09,11413.2998046875,11413.2998046875,11215.9501953125,11264.849609375,14900
2016-06-10,11226.4501953125,11320.400390625,11210.599609375,11229.0498046875,12800
2016-06-13,11164.150390625,11214.2001953125,11111.7001953125,11191.5498046875,8300
2016-06-14,11210.650390625,11222.349609375,11110.75,11169.4501953125,6900
2016-06-15,11195.9501953125,11293.150390625,11172.599609375,11282.0498046875,7000
2016-06-16,11249.7001953125,11263.5,11128.9501953125,11244.25,7400
2016-06-17,11258.650390625,11304.7998046875,11242.5498046875,11290.7998046875,12500
2016-06-20,11272.9501953125,11518.7001953125,11256.650390625,11506.599609375,12600
2016-06-21,11515.25,11519.900390625,11453.2001953125,11488.4501953125,8200
2016-06-22,11509.0498046875,11524.2998046875,11421.5498046875,11490.7998046875,7600
2016-06-23,11469.349609375,11526.400390625,11396.75,11487.0498046875,6500
2016-06-24,11193.25,11218.2998046875,11043.099609375,11203.150390625,14900
2016-06-27,11069.900390625,11094.7998046875,10976.7998046875,11008.0498046875,9700
2016-06-28,10978.599609375,11031.5,10874.599609375,10884.650390625,13400
2016-06-29,10943.2998046875,11072.2998046875,10900.9501953125,11057.400390625,10800
2016-06-30,11109.7001953125,11156.400390625,11052.25,11120.150390625,15200
2016-07-01,11172.650390625,11178.0498046875,11078.4501953125,11098.400390625,6500
2016-07-04,11142.25,11242.2998046875,11142.25,11184.849609375,8300
2016-07-05,11176.2001953125,11176.2001953125,11110.599609375,11141.0,6900
2016-07-07,11136.2998046875,11138.4501953125,10929.400390625,10942.0,11500
2016-07-08,10947.9501953125,10982.9501953125,10896.900390625,10946.7001953125,7500
2016-07-11,10993.849609375,11073.400390625,10992.5498046875,11045.9501953125,9200
2016-07-12,11064.400390625,11072.2998046875,10997.2998046875,11056.7998046875,8400
2016-07-13,11094.2001953125,11139.0,11042.9501953125,11128.2001953125,10600
2016-07-14,11117.349609375,11174.599609375,11090.7998046875,11157.849609375,8700
2016-07-15,11197.849609375,11219.0498046875,10691.7001953125,10716.4501953125,45100
2016-07-18,10734.5,10767.849609375,10659.7998046875,10735.099609375,15700
2016-07-19,10694.9501953125,10777.599609375,10694.0,10766.2998046875,17800
2016-07-20,10600.75,10775.7998046875,10600.75,10764.7001953125,21100
2016-07-21,10749.75,10789.25,10719.7998046875,10772.25,10400
2016-07-22,10745.5498046875,10775.2001953125,10711.5,10756.0,10300
2016-07-25,10734.099609375,10880.400390625,10731.2001953125,10870.900390625,10200
2016-07-26,10839.5,10901.099609375,10836.7998046875,10877.650390625,12800
2016-07-27,10875.4501953125,10952.650390625,10849.2998046875,10928.4501953125,9700
2016-07-28,10923.099609375,10952.7001953125,10881.2998046875,10935.650390625,16400
2016-07-29,10916.900390625,10952.75,10871.9501953125,10913.2998046875,10400
2016-08-01,10917.7001953125,11149.5498046875,10913.5,11139.0498046875,17000
2016-08-02,11129.4501953125,11231.9501953125,11112.4501953125,11179.0,17600
2016-08-03,11307.0498046875,11307.0498046875,11143.099609375,11181.400390625,20000
2016-08-04,11226.4501953125,11229.0498046875,11128.650390625,11148.4501953125,8100
2016-08-05,11177.349609375,11226.5,11091.7998046875,11137.0498046875,10300
2016-08-08,11136.099609375,11205.0,11122.150390625,11197.2001953125,11900
2016-08-09,11207.7001953125,11214.9501953125,11128.9501953125,11198.0,11100
2016-08-10,11184.25,11202.2001953125,11152.099609375,11175.900390625,11200
2016-08-11,11173.2998046875,11254.2001953125,11170.599609375,11222.2001953125,9700
2016-08-12,11218.7001953125,11302.400390625,11153.4501953125,11173.400390625,12700
2016-08-16,11121.9501953125,11136.0498046875,10955.650390625,10993.5498046875,20600
2016-08-17,10992.9501953125,10993.9501953125,10790.599609375,10808.75,18000
