date,open,high,low,close,vix
2015-01-09,8285.45,8303.0,8191.1,8280.25,15.960000038146973
2015-01-12,8291.35,8332.25,8245.6,8326.55,16.110000610351562
2015-01-13,8346.15,8356.65,8268.15,8303.8,16.479999542236328
2015-01-14,8307.25,8326.3,8236.75,8287.75,17.25
2015-01-15,8425.2,8526.9,8380.75,8461.15,16.15999984741211
2015-01-19,8553.4,8570.8,8531.7,8550.3,17.649999618530273
2015-01-20,8575.1,8707.75,8574.65,8691.25,17.270000457763672
2015-01-21,8719.65,8741.5,8689.7,8728.05,17.709999084472656
2015-01-22,8745.85,8774.0,8727.15,8762.2,18.56999969482422
2015-01-23,8827.95,8866.15,8795.6,8823.55,17.889999389648438
2015-01-27,8871.35,8924.95,8825.55,8904.2,18.09000015258789
2015-01-28,8902.75,8985.05,8874.2,8906.8,19.770000457763672
2015-01-29,8901.5,8966.2,8861.65,8950.2,19.43000030517578
2015-01-30,8996.6,8996.6,8775.6,8821.45,20.170000076293945
2015-02-02,8802.5,8839.9,8751.45,8798.15,20.40999984741211
2015-02-03,8823.15,8836.45,8726.65,8746.65,19.809999465942383
2015-02-04,8789.15,8791.45,8704.7,8713.95,20.049999237060547
2015-02-05,8733.1,8838.3,8683.95,8699.4,20.6200008392334
2015-02-06,8696.85,8725.8,8646.65,8666.0,20.690000534057617
2015-02-09,8584.4,8603.9,8516.35,8518.3,22.020000457763672
2015-02-10,8478.1,8646.15,8472.05,8578.85,21.190000534057617
2015-02-11,8603.3,8651.9,8594.05,8635.5,20.5
2015-02-12,8676.95,8732.15,8599.4,8728.4,20.15999984741211
2015-02-13,8741.5,8821.7,8730.0,8803.05,20.100000381469727
2015-02-16,8831.4,8869.95,8793.7,8808.7,20.82999992370605
2015-02-18,8811.55,8893.9,8810.05,8865.25,20.90999984741211
2015-02-19,8883.05,8913.45,8794.55,8898.35,20.39999961853028
2015-02-20,8895.5,8895.5,8816.5,8827.7,21.270000457763672
2015-02-23,8856.85,8868.9,8737.25,8742.8,21.6299991607666
2015-02-24,8772.9,8800.5,8727.25,8760.8,21.549999237060547
2015-02-25,8802.65,8840.5,8751.65,8765.25,20.780000686645508
2015-02-26,8779.0,8783.6,8669.85,8694.65,20.57999992370605
2015-02-27,8729.5,8856.95,8717.6,8850.65,19.56999969482422
2015-02-28,8913.05,8940.8,8751.6,8920.75,
2015-03-02,8954.6,8971.7,8885.65,8961.55,15.850000381469728
2015-03-03,8962.85,9008.25,8925.7,8996.75,15.489999771118164
2015-03-04,9109.15,9117.3,8894.5,8918.4,15.199999809265137
2015-03-05,8929.4,8957.35,8849.45,8937.75,14.4399995803833
2015-03-09,8877.3,8877.3,8740.45,8743.25,15.8100004196167
2015-03-10,8769.75,8777.95,8677.6,8725.6,15.529999732971191
2015-03-11,8728.75,8755.3,8682.5,8701.8,15.130000114440918
2015-03-12,8740.65,8786.2,8733.5,8771.4,14.75
2015-03-13,8844.05,8844.05,8632.4,8661.1,14.970000267028809
2015-03-16,8641.1,8660.8,8612.15,8639.6,15.18000030517578
2015-03-17,8689.1,8742.1,8631.15,8722.35,15.130000114440918
2015-03-18,8742.9,8746.4,8664.35,8680.9,15.510000228881836
2015-03-19,8749.45,8787.95,8614.95,8622.9,15.199999809265137
2015-03-20,8627.9,8627.9,8553.3,8584.85,14.260000228881836
2015-03-23,8591.55,8607.9,8540.75,8550.95,14.270000457763672
2015-03-24,8537.05,8626.65,8536.95,8549.9,13.670000076293944
2015-03-25,8568.9,8573.45,8517.0,8517.0,13.140000343322754
2015-03-26,8474.95,8498.9,8326.35,8382.3,15.15999984741211
2015-03-27,8396.0,8411.4,8269.55,8348.05,14.5
2015-03-30,8391.7,8504.25,8381.2,8501.35,14.260000228881836
2015-03-31,8527.6,8549.95,8455.05,8480.9,14.489999771118164
2015-04-01,8483.7,8600.6,8465.0,8590.3,13.670000076293944
2015-04-06,8615.8,8667.5,8573.85,8652.0,14.56999969482422
2015-04-07,8684.45,8692.5,8586.9,8676.9,14.25
2015-04-08,8698.95,8730.15,8679.85,8717.35,14.350000381469728
2015-04-09,8756.2,8785.3,8682.6,8774.25,14.420000076293944
2015-04-10,8774.35,8787.1,8734.35,8767.55,14.260000228881836
2015-04-13,8801.75,8841.35,8762.5,8825.9,14.489999771118164
2015-04-15,8844.75,8844.75,8722.95,8735.5,14.619999885559082
2015-04-16,8757.05,8759.1,8645.8,8693.25,14.949999809265137
2015-04-17,8698.05,8698.75,8596.95,8602.05,15.039999961853027
2015-04-20,8615.4,8619.95,8423.2,8443.0,16.299999237060547
2015-04-21,8416.1,8469.15,8353.1,8398.1,17.030000686645508
2015-04-22,8400.4,8449.2,8284.85,8436.5,17.209999084472656
2015-04-23,8478.2,8504.95,8362.1,8387.95,18.5
2015-04-24,8405.7,8412.15,8273.8,8320.15,19.11000061035156
2015-04-27,8330.55,8331.4,8203.1,8203.15,18.739999771118164
2015-04-28,8215.55,8307.55,8185.75,8264.85,17.40999984741211
2015-04-29,8274.8,8308.05,8219.5,8236.4,17.239999771118164
2015-04-30,8224.5,8228.9,8145.0,8204.95,17.229999542236328
2015-05-04,8230.05,8345.35,8221.25,8342.65,17.309999465942383
2015-05-05,8338.4,8355.55,8280.6,8321.1,17.360000610351562
2015-05-06,8316.6,8330.3,8083.35,8092.45,19.670000076293945
2015-05-07,8077.0,8122.2,7997.35,8047.15,19.64999961853028
2015-05-08,8131.5,8224.9,8123.65,8190.3,19.11000061035156
2015-05-11,8243.2,8332.7,8224.85,8320.05,18.6299991607666
2015-05-12,8326.15,8326.15,8115.45,8125.0,20.549999237060547
2015-05-13,8181.55,8254.55,8090.8,8237.4,20.690000534057617
2015-05-14,8232.45,8235.9,8137.55,8221.15,20.700000762939453
2015-05-15,8240.3,8278.9,8213.1,8254.75,19.81999969482422
2015-05-18,8284.95,8384.35,8271.95,8376.2,17.899999618530273
2015-05-20,8392.65,8440.2,8392.65,8413.15,17.719999313354492
2015-05-21,8434.5,8442.2,8382.7,8419.05,17.40999984741211
2015-05-22,8432.5,8489.0,8420.9,8448.35,16.950000762939453
2015-05-25,8438.15,8441.95,8364.25,8366.9,16.93000030517578
2015-05-26,8377.65,8378.45,8320.15,8354.8,17.06999969482422
2015-05-27,8302.75,8342.6,8278.3,8337.1,17.280000686645508
2015-05-28,8345.7,8364.2,8270.3,8319.0,17.1299991607666
2015-05-29,8327.1,8443.45,8306.7,8432.95,16.65999984741211
2015-06-01,8417.25,8467.05,8406.25,8422.55,16.90999984741211
2015-06-02,8442.8,8442.8,8226.55,8232.25,16.81999969482422
2015-06-03,8232.45,8234.4,8094.45,8148.55,17.510000228881836
2015-06-04,8155.15,8158.6,8057.3,8136.95,18.1200008392334
2015-06-05,8119.15,8190.8,8101.3,8113.9,18.09000015258789
2015-06-08,8124.35,8129.15,8030.65,8036.95,18.88999938964844
2015-06-09,8026.5,8057.05,8005.5,8015.45,18.010000228881836
2015-06-10,8024.15,8152.15,8024.15,8125.5,17.079999923706055
2015-06-11,8157.3,8161.65,7958.45,7964.85,17.809999465942383
2015-06-12,7959.85,7995.3,7940.95,7991.45,17.479999542236328
2015-06-15,7986.6,8057.65,7945.55,8006.15,17.520000457763672
2015-06-16,8004.2,8061.65,7952.65,8057.2,17.170000076293945
2015-06-17,8084.2,8136.6,8049.75,8089.7,16.729999542236328
