feature,importance
gold_rsi,0.014286894
kc_width,0.0111545175
rel_macd,0.009664718
vix_lag1,0.009496854
pharma_macd,0.009486212
roc_5,0.009434707
gold_wr,0.009312365
ret_3d,0.009105418
ema_dist_10,0.008922159
hsi_rsi,0.008867402
dist_from_low_20,0.008834457
vix_lag5,0.008483481
shanghai_macd,0.0084702065
auto_macd,0.008396125
pe_ratio,0.0083481325
hdfc_macd,0.008313728
bb_width,0.0081737265
icici_adx,0.0080891745
hsi_macd,0.008076423
silver_macd,0.008041081
it_rsi,0.007859503
rel_rsi,0.00784952
nikkei_rsi,0.007839155
tcs_wr,0.007810037
tcs_adx,0.0077953357
energy_adx,0.007778183
vix_ma_ratio,0.007727387
macd_hist,0.0076727294
metal_rsi,0.0076428745
rsi_lag5,0.0076079136
fmcg_macd,0.0075695734
itc_macd,0.0075529474
crude_macd,0.0074739736
ndx_macd,0.0074290754
eem_wr,0.0073863757
us_vix_adx,0.0073130857
usdinr_z,0.0071255933
roc_10,0.0070955944
auto_wr,0.007042224
dist_from_high_20,0.0070300004
itc_wr,0.0069640256
silver_rsi,0.006945769
rsi_slope,0.0068929764
sell_pct,0.0068436903
vix_lag2,0.0068405666
bn_nifty_ratio,0.0068038083
us10y_macd,0.0065898513
copper_rsi,0.0065735253
dxy_macd,0.0065487567
hdfc_ret,0.0064636194
icici_rsi,0.0063951365
vix_usvix_ratio,0.0063559734
bn_macd,0.006318525
eem_adx,0.0063143517
roc_20,0.006278146
crude_adx,0.0062674596
rel_adx,0.0062523703
hdfc_wr,0.0062316456
nikkei_macd,0.0062263566
vwap_dev,0.0062172064
pharma_wr,0.006190529
it_adx,0.006185564
it_macd,0.006167765
sp_ret,0.0061323573
gold_adx,0.00612786
ema_dist_50,0.0060967277
vix_accel,0.0059748325
bn_rsi,0.005965671
z20,0.0059556207
inda_wr,0.005949134
macd_hist_lag1,0.0059406664
icici_macd,0.005887811
gap_pct,0.0058798827
itc_rsi,0.0058725267
infra_adx,0.0058474243
cmf_proxy,0.00581266
macd_hist_lag3,0.005811007
natgas_rsi,0.0057993596
rsi,0.0057845586
tcs_rsi,0.0057495777
icici_wr,0.005746001
energy_rsi,0.0057273344
itc_adx,0.005703234
it_wr,0.005685408
shanghai_rsi,0.0056843064
natgas_macd,0.0056780186
vix_pct,0.005671443
us_vix_macd,0.0056694113
rsi_lag3,0.0056600654
gold_ret,0.0056440383
spread,0.0056347027
pharma_adx,0.005634625
williams_r,0.0056133284
month_sin,0.0055183293
nikkei_ret,0.0054498767
adx,0.0054465854
gold_crude_ratio,0.005420051
metal_adx,0.0054108854
pharma_rsi,0.005397889
energy_macd,0.005373613
us_vix_wr,0.0053443396
metal_macd,0.0053276573
tcs_ret,0.005290609
energy_ret,0.0052800393
metal_ret,0.0052579315
auto_rsi,0.0052509024
range_pctile,0.0052330405
dxy_ret,0.0052246596
tcs_macd,0.005218619
body_pct,0.0052179806
or_range,0.0052125524
inda_macd,0.0052111363
vix_lag3,0.0051624374
intraday_trend,0.0051325327
ndx_rsi,0.0051020104
hdfc_adx,0.0050881254
gold_macd,0.0050182217
pharma_ret,0.004994811
infra_rsi,0.0049306173
natgas_ret,0.004909189
infra_macd,0.004902857
atr_expansion,0.0048932093
dow_sin,0.0048735426
rsi_lag2,0.0048366906
macd_hist_lag2,0.0048299273
rel_wr,0.0048206397
consec_up,0.004788996
copper_macd,0.0047872965
rsi_lag1,0.0047827736
close_position,0.0047111064
eem_ret,0.0046172235
us_vix_ret,0.004611359
energy_wr,0.0045824386
dxy_rsi,0.004520262
fmcg_ret,0.004496962
fmcg_adx,0.0044909725
inda_rsi,0.0044773966
fmcg_rsi,0.0044615557
bn_vs_nifty,0.0044004284
hsi_ret,0.004392919
crude_rsi,0.00437967
icici_ret,0.0043775584
infra_ret,0.0043197726
metal_wr,0.004225611
us_vix_rsi,0.004194981
ha_trend,0.0041523324
us10y_rsi,0.004131966
month_cos,0.004129304
crude_wr,0.004107508
hdfc_rsi,0.0040672375
ndx_ret,0.0040048785
inda_adx,0.003991974
inda_ret,0.0039169067
atr_ratio,0.003815088
itc_ret,0.0037732145
rel_ret,0.0036940079
lower_wick,0.0036717476
vix_change,0.003670879
buy_pct,0.003661746
upper_wick,0.0033474031
copper_ret,0.0032529216
crude_ret,0.003133901
silver_ret,0.0030551774
it_ret,0.0029613276
auto_adx,0.0029510234
eem_macd,0.0028192257
fmcg_wr,0.0023239208
infra_wr,0.002210854
eem_rsi,0.0017959239
shanghai_ret,0.0017604848
auto_ret,0.0016617788
us10y_ret,0.0009704163
ret_20d,0.0
dow_cos,0.0
vix_spike,0.0
trend,0.0
momentum_div,0.0
gap_filled,0.0
engulfing,0.0
obv_slope,0.0
bb_squeeze,0.0
ret_10d,0.0
ret_5d,0.0
